# CtApACF
# E:\zFAS-Jenkins\workspace\zFAS_AIT_Master_AAT\_ait\SW\0900_System\02_interfaces\CtApACF\ContractHeader\Rte_CtApACF.h
# Generated at: Tue Sep 10 2019 17:16
Rte_Receive_CtApACF_PpDiagACFRead_DeACA_ResetAcaQBetriebszeitzaehler_0x1011|Dt_RECORD_Routine_ACA_ResetAcaQBetriebszeitzaehler_0x1011_Call
Rte_Receive_CtApACF_PpDiagACFRead_DeALDW_ResetAldwBetriebszeitzaehler_0x1010|Dt_RECORD_Routine_ALDW_ResetAldwBetriebszeitzaehler_0x1010_Call
Rte_Receive_CtApACF_PpDiagGlobalRead_DeFSPCleared|Dt_BOOL
Rte_Receive_CtApACF_PpDM_DeDM|Dt_RECORD_DM
Rte_Receive_CtApACF_PpEML_DeEML|Dt_RECORD_EML
Rte_Read_CtApACF_Bap_Allowed_DeBapAllowed|Dt_BOOL
Rte_IsUpdated_CtApACF_Bap_Allowed_DeBapAllowed|void
Rte_IRead_RACFCyclic_PpACFOBS2ACF_DeACFObsACF|void
Rte_IStatus_RACFCyclic_PpACFOBS2ACF_DeACFObsACF|void
Rte_IRead_RACFCyclic_PpACFSM_DeACFSM|void
Rte_IStatus_RACFCyclic_PpACFSM_DeACFSM|void
Rte_Read_CtApACF_PpDiagACFRead_DeActive_lane_departure_warning_activation_speed_0x5557|Dt_RECORD_Anpassung_Active_lane_departure_warning_activation_speed_0x5557
Rte_IsUpdated_CtApACF_PpDiagACFRead_DeActive_lane_departure_warning_activation_speed_0x5557|void
Rte_Read_CtApACF_PpDiagACFRead_DeActive_lane_departure_warning_deactivation_speed_0x5558|Dt_RECORD_Anpassung_Active_lane_departure_warning_deactivation_speed_0x5558
Rte_IsUpdated_CtApACF_PpDiagACFRead_DeActive_lane_departure_warning_deactivation_speed_0x5558|void
Rte_Read_CtApACF_PpDiagACFRead_DeActive_lane_departure_warning_point_of_intervention_0x0BE8|Dt_RECORD_Anpassung_Active_lane_departure_warning_point_of_intervention_0x0BE8
Rte_IsUpdated_CtApACF_PpDiagACFRead_DeActive_lane_departure_warning_point_of_intervention_0x0BE8|void
Rte_Read_CtApACF_PpDiagACFRead_DeActive_lane_departure_warning_sportiness_detection_0x47B2|Dt_RECORD_Anpassung_Active_lane_departure_warning_sportiness_detection_0x47B2
Rte_IsUpdated_CtApACF_PpDiagACFRead_DeActive_lane_departure_warning_sportiness_detection_0x47B2|void
Rte_Read_CtApACF_PpDiagACFRead_DeEmergency_assist_activation_override_0x0566|Dt_RECORD_Anpassung_Emergency_assist_activation_override_0x0566
Rte_IsUpdated_CtApACF_PpDiagACFRead_DeEmergency_assist_activation_override_0x0566|void
Rte_Read_CtApACF_PpDiagACFRead_DeEmergency_assist_start_hazard_warning_light_0x5559|Dt_RECORD_Anpassung_Emergency_assist_start_hazard_warning_light_0x5559
Rte_IsUpdated_CtApACF_PpDiagACFRead_DeEmergency_assist_start_hazard_warning_light_0x5559|void
Rte_Read_CtApACF_PpDiagACFRead_DeEmergency_assist_status_after_switching_on_terminal_15_0x0BCA|Dt_RECORD_Anpassung_Emergency_assist_status_after_switching_on_terminal_15_0x0BCA
Rte_IsUpdated_CtApACF_PpDiagACFRead_DeEmergency_assist_status_after_switching_on_terminal_15_0x0BCA|void
Rte_Read_CtApACF_PpDiagACFRead_DeLane_departure_warning_on_state_0x0BCE|Dt_RECORD_Anpassung_Lane_departure_warning_on_state_0x0BCE
Rte_IsUpdated_CtApACF_PpDiagACFRead_DeLane_departure_warning_on_state_0x0BCE|void
Rte_Read_CtApACF_PpDiagACFRead_DeLane_departure_warning_steering_wheel_vibration_strength_0x0BDD|Dt_RECORD_Anpassung_Lane_departure_warning_steering_wheel_vibration_strength_0x0BDD
Rte_IsUpdated_CtApACF_PpDiagACFRead_DeLane_departure_warning_steering_wheel_vibration_strength_0x0BDD|void
Rte_Read_CtApACF_PpDiagACFRead_DeLane_departure_warning_system_mode_0x0BDC|Dt_RECORD_Anpassung_Lane_departure_warning_system_mode_0x0BDC
Rte_IsUpdated_CtApACF_PpDiagACFRead_DeLane_departure_warning_system_mode_0x0BDC|void
Rte_Read_CtApACF_PpDiagACFRead_DePersonalisation_for_lane_departure_warning_0x3BB2|Dt_RECORD_Anpassung_Personalisation_for_lane_departure_warning_0x3BB2
Rte_IsUpdated_CtApACF_PpDiagACFRead_DePersonalisation_for_lane_departure_warning_0x3BB2|void
Rte_Read_CtApACF_PpDiagCoding_DeCoding|Dt_RECORD_Diag_Coding
Rte_IsUpdated_CtApACF_PpDiagCoding_DeCoding|void
Rte_Read_CtApACF_PpDiagCoding_DePermitCodingPersistence|Dt_ENUM_PermitCodingPersistence
Rte_IsUpdated_CtApACF_PpDiagCoding_DePermitCodingPersistence|void
Rte_Read_CtApACF_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|Dt_RECORD_Anpassung_Deactivate_hardware_in_the_loop_mode_0x0BEA
Rte_IsUpdated_CtApACF_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|void
Rte_Read_CtApACF_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|Dt_RECORD_Anpassung_Platform_zFAS_hil_mode_0x0500
Rte_IsUpdated_CtApACF_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|void
Rte_Read_CtApACF_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|Dt_RECORD_Anpassung_Roller_Test_Stand_Mode_0x04FB
Rte_IsUpdated_CtApACF_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|void
Rte_IRead_RACFCyclic_PpDsACFDataSet_DeACFRO|void
Rte_IStatus_RACFCyclic_PpDsACFDataSet_DeACFRO|void
Rte_IRead_RACFCyclic_PpEyeQCom2ACF_DeEyeQCom2ACF|void
Rte_IStatus_RACFCyclic_PpEyeQCom2ACF_DeEyeQCom2ACF|void
Rte_IRead_RACFCyclic_PpFASProfileMasterACF_DeFASProfileMasterACF|void
Rte_IStatus_RACFCyclic_PpFASProfileMasterACF_DeFASProfileMasterACF|void
Rte_IRead_RACFCyclic_PpFoDFunctionActivationState_DeFoDFunctionActivationState|void
Rte_IStatus_RACFCyclic_PpFoDFunctionActivationState_DeFoDFunctionActivationState|void
Rte_IRead_RACFCyclic_PpFRACFin_DeFRACFin|void
Rte_IStatus_RACFCyclic_PpFRACFin_DeFRACFin|void
Rte_IRead_RACFCyclic_PpFRParkControlout_DeFRParkControlout|void
Rte_IStatus_RACFCyclic_PpFRParkControlout_DeFRParkControlout|void
Rte_IRead_RACFCyclic_PpFRParkControlout_DePduGrp_IPA_01|void
Rte_IStatus_RACFCyclic_PpFRParkControlout_DePduGrp_IPA_01|void
Rte_IRead_RACFCyclic_PpFRParkControlout_DePduGrp_IPA_02|void
Rte_IStatus_RACFCyclic_PpFRParkControlout_DePduGrp_IPA_02|void
Rte_IRead_RACFCyclic_PpFRParkControlout_DePduGrp_Parkhilfe2_01|void
Rte_IStatus_RACFCyclic_PpFRParkControlout_DePduGrp_Parkhilfe2_01|void
Rte_IRead_RACFCyclic_PpFRParkControlout_DePduGrp_Parkhilfe2_04|void
Rte_IStatus_RACFCyclic_PpFRParkControlout_DePduGrp_Parkhilfe2_04|void
Rte_IRead_RACFCyclic_PpFRParkControlout_DePduGrp_PLA2_01|void
Rte_IStatus_RACFCyclic_PpFRParkControlout_DePduGrp_PLA2_01|void
Rte_IRead_RACFCyclic_PpFRParkControlout_DePduGrp_PLA2_02|void
Rte_IStatus_RACFCyclic_PpFRParkControlout_DePduGrp_PLA2_02|void
Rte_IRead_RACFCyclic_PpFRParkControlout_DePduGrp_PLA2_Status_02|void
Rte_IStatus_RACFCyclic_PpFRParkControlout_DePduGrp_PLA2_Status_02|void
Rte_IRead_RACFCyclic_PpFRParkControlout_DePduGrp_ZFAS_01|void
Rte_IStatus_RACFCyclic_PpFRParkControlout_DePduGrp_ZFAS_01|void
Rte_IRead_RACFCyclic_PpFRParkControlout_DeTraceData|void
Rte_IStatus_RACFCyclic_PpFRParkControlout_DeTraceData|void
Rte_IRead_RACFCyclic_PpFRUSout_DePduGrp_APS2_01|void
Rte_IStatus_RACFCyclic_PpFRUSout_DePduGrp_APS2_01|void
Rte_IRead_RACFCyclic_PpFRUSout_DePduGrp_APS2_02|void
Rte_IStatus_RACFCyclic_PpFRUSout_DePduGrp_APS2_02|void
Rte_IRead_RACFCyclic_PpFRUSout_DePduGrp_APS2_03|void
Rte_IStatus_RACFCyclic_PpFRUSout_DePduGrp_APS2_03|void
Rte_IRead_RACFCyclic_PpFRUSout_DePduGrp_APS2_Master|void
Rte_IStatus_RACFCyclic_PpFRUSout_DePduGrp_APS2_Master|void
Rte_IRead_RACFCyclic_PpFRUSout_DeTraceData|void
Rte_IStatus_RACFCyclic_PpFRUSout_DeTraceData|void
Rte_IRead_RACFCyclic_PpFRUSout_DeUS2|void
Rte_IStatus_RACFCyclic_PpFRUSout_DeUS2|void
